,Overall Pick,Teams,year,College,Seasons in NBA,# Games,Minutes Played,Points,Total Rebounds,Assists,Field Goal %,3 Point Field Goal %,Free Throw %,Minutes Played per Game,Points per Game,Total Rebounds per Game,Assists per Game,Win Shares,Win Shares per 48 Minutes,Box +-,VORP,Height,Weight,First Position
0,1,DET,2021,Oklahoma State,1,40,1293,642,219,214,.397,.331,.860,32.3,16.1,5.5,5.4,-0.3,-.013,-1.7,0.1,198.12,99.79024,Point Guard
1,3,CLE,2021,USC,1,42,1447,634,343,109,.510,.300,.662,34.5,15.1,8.2,2.6,3.7,.121,1.1,1.1,210.12727272727273,97.52228,Power Forward
2,4,TOR,2021,Florida State,1,39,1405,579,303,137,.472,.308,.723,36.0,14.8,7.8,3.5,3.1,.106,0.1,0.7,207.12545454545457,102.965384,Power Forward
3,5,ORL,2021,Gonzaga,1,30,846,372,110,120,.366,.252,.762,28.2,12.4,3.7,4.0,-1.1,-.065,-5.4,-0.7,192.11636363636364,92.98636,Point Guard
4,8,ORL,2021,Michigan,1,51,1648,801,236,150,.464,.343,.851,32.3,15.7,4.6,2.9,2.6,.077,-0.9,0.5,207.12545454545457,102.0582,Small Forward
5,9,SAC,2021,Baylor,1,45,1124,425,102,148,.393,.311,.579,25.0,9.4,2.3,3.3,0.0,.001,-3.8,-0.5,186.11272727272728,92.98636,Point Guard
6,10,NOP,2021,Stanford,1,32,661,216,51,26,.410,.258,.850,20.7,6.8,1.6,0.8,0.5,.039,-5.0,-0.5,204.12363636363636,97.52228,Small Forward
7,11,CHO,2021,UConn,1,24,249,121,38,19,.368,.341,.852,10.4,5.0,1.6,0.8,0.1,.023,-6.7,-0.3,195.11818181818182,86.18248,Shooting Guard
8,12,SAS,2021,Alabama,1,22,310,100,34,27,.396,.383,.833,14.1,4.5,1.5,1.2,0.1,.010,-3.0,-0.1,198.12,86.18248,Shooting Guard
9,13,IND,2021,Oregon,1,43,1237,573,179,95,.436,.350,.747,28.8,13.3,4.2,2.2,1.2,.045,-1.9,0.0,198.12,86.18248,Shooting Guard
